id_komentar,author_name,updated_at,text,text_clean
UgyhQrGLH-TgoIymrBt4AaABAg,@DodiAmbal,2025-05-17 14:04:44+00:00,"wawancara apalah kompor ga tertarik, i like KDM",wawancara apalah kompor tertarik i like kdm
UgzqcOwtZqgxTKveIqx4AaABAg,@binnoerrachmad4033,2025-05-17 14:04:39+00:00,Kangkung & Micin,kangkung micin
UgwkGRqqMp3YgeFiFHd4AaABAg,@siksik5099,2025-05-17 14:03:57+00:00,"inovasi nya bagus KDM, keluar dari birokrasi ruwet dan ada solusi cepat,  sekalipun dibilang short term ... itu istilah saja. Singapura ada wajib militer dan sangat strick aturan nya di masyarakat - itu pantas di jadikan rujukan ... Prabowo terlalu lembek dan lemah di praktek realnya dan tidak bisa keluar dr pengaruh Jokowi",inovasi nya bagus kdm birokrasi ruwet solusi cepat dibilang short term istilah singapura wajib militer strick aturan nya masyarakat jadikan rujukan prabowo lembek lemah praktek realnya pengaruh jokowi
UgyRykEWZHS_JE4JG0Z4AaABAg,@sofiulanam1105,2025-05-17 14:03:56+00:00,KDM cukup sebatas gubernur lebih dari itu belum cukup ilmu,kdm sebatas gubernur ilmu
UgzfWi29R-iXvRimTcR4AaABAg,@pluviophile_ry,2025-05-17 14:02:40+00:00,"sy warga Jawa Barat, juga suka sm KDM, tp krn tdk ingin terjebak mengkultuskan seseorang, butuh pandangan berbeda...dan senang sekali ternyata banyak yg spt saya. Tetap kritis gaesss 👍🏻👍🏻",warga jawa barat suka kdm terjebak mengkultuskan butuh pandangan berbeda senang kritis gaes
Ugy8kVtTBFqcjb_h12t4AaABAg,@komunitasliterasirasa6284,2025-05-17 14:02:28+00:00,26:50 jelas KDM mau RI 1. Bahkan saat masih jadi Bupati Purwakarta sudah punya target itu,kdm ri bupati purwakarta target
UgxI4IXkgQP9l6KejHN4AaABAg,@sandalnama870,2025-05-17 14:02:24+00:00,"ANDA SUBS HANYA 1JT KOMA, KDM MAU 7 JUTA....BERAAAAT BERAAAT😂😂😂😂😂😂",subs juta koma kdm juta berat berat
UgzTBUwXUTU5s6iOtv54AaABAg,@zulkiflidanz1722,2025-05-17 14:02:00+00:00,"Biarkan orang berkata apa...ah..ah..ah...
Benar tidak'a....tindakan beliau.....
Itu urusan beliau dengan tuhan nya..
Dan anda,,,mereka....tak perlu mencari palu kebenaran....",biarkan orang ah ah ah a tindakan beliau urusan beliau tuhan nya mencari palu kebenaran
Ugyp9bOF381BEiHQHaF4AaABAg,@aditamacahyanugraha7404,2025-05-17 14:01:36+00:00,"Saya rasa jadi pemimpin di negeri ini terlalu banyak salahnya, buat kebijakan yang bagus secara kenyataan dibuat salah secara teori, buat kebijakan bagus buat rakyat dibuat salah buat pejabatnya.
Kalo menurut saya bukan soal apa yang diputuskan oleh pemimpin tapi prinsip dan maksud yg dituju dari kebijakan itu",pemimpin negeri salahnya kebijakan bagus kenyataan salah teori kebijakan bagus rakyat salah pejabatnya kalo diputuskan pemimpin prinsip maksud dituju kebijakan
UgzNHHNnEt5pC28StBh4AaABAg,@mizanmandan1179,2025-05-17 14:01:34+00:00,Tempo gak bahas gubernur Jakarta?? Dia kerja ngak yah??,tempo bahas gubernur jakarta kerja ya
Ugx9HNK7qcyvZuJZI1p4AaABAg,@SwargaDesain,2025-05-17 14:00:54+00:00,tempo komplotan george soros banyak bacot,tempo komplotan george soros bacot
UgxGklN4KAIWzMYQA1l4AaABAg,@biranwildan792,2025-05-17 14:00:37+00:00,"sesama sunda, cukup KDM untuk jabar ... ulah lebih .... cukup jabar",sunda kdm jabar ulah jabar
UgwEwh5ZvUGPSZnb5Jl4AaABAg,@sandalnama870,2025-05-17 14:00:00+00:00,"😂😂😂😂😂😂 UANG MEDIA 50 MILYAR  DIBABAAAT HABIIIIIIS MA KDM JD 3 MILYAR....., GA ANEH BANYAK MEDIA MULAI MOJOKAN KDM ... KRITIK YAA KRITIK DUUUULLLL..... 62 PERSEN WARGA JABAR ADA DIBELAKANG KDM, YANG RAME MALAH BUKAN ORANG WARGA JABAR😂😂😂😂😂😂.......",uang media milyar dibabat habis kdm milyar aneh media mojokan kdm kritik ya kritik dul persen warga jabar dibelakang kdm rame orang warga jabar
UgyZkR65SFGrPZ55-Cd4AaABAg,@yoslukisan64,2025-05-17 13:59:46+00:00,Bapak aing itu bener bella rakyat ya bukan omong 2,aing bella rakyat ya omong
Ugx3Rs8XOl8CsbvizFd4AaABAg,@AbaLukman-v2w,2025-05-17 13:59:38+00:00,"Betul tuh, hati2 dengan episode Mulyono jilid kedua 😮",tuh hati episode mulyono jilid
UgwsJeSsbNLREOhG1aR4AaABAg,@GaganYati,2025-05-17 13:59:19+00:00,waktu RK menjabat perasaan gk s heboh ini? di bayar brp sih sama partai onoh,rk menjabat perasaan si heboh bayar sih partai sono
UgwO0FqaQEYvsIyBUH14AaABAg,@adepriatna6127,2025-05-17 13:59:09+00:00,"Buat gue sekelas tempo terlalu dini untuk mengangkat seorg gubernur menjadi isu nasional gini. Kalo alesannya sering viral juga buat gue tetap terlalu dini. Tunggu lah min tahun ke 4 kdm menjabat baru boleh roasting. Gila aja baru 4 bulan diroasting sampe ke pribadinya, ibarat bayi yg baru nen blm bisa jalan blm bisa apa apa  yaelah",gue sekelas tempo mengangkat gubernur isu nasional kalo alesannya viral gue tunggu min kdm menjabat roasting gila diroasting pribadinya bayi nen jalan yaelah
UgyI8xLa3czrYKBFF-94AaABAg,@HelmiMaylana,2025-05-17 13:59:01+00:00,"Iya emg Tim bapak aing banyak, gak pernah ada wartawan plahan , langsung sama anak2nya yg TIM nya",iya tim aing wartawan plahan langsung anak nya tim nya
UgxMQW8PK6b-rqNpdsR4AaABAg,@SamanthaReivall-m8r,2025-05-17 13:58:51+00:00,"Orang Baik Akan Penuh Dengan Musuh ,,Tapi seperti di film orang baik akan selalu MENANG",orang penuh musuh film orang menang
